,Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1457,2025-10-20,89.28,89.81,88.77,88.86,3107403.0
1458,2025-10-21,90.5,92.92,90.11,90.33,4339323.0
1459,2025-10-22,90.08,90.31,87.33,87.42,4663710.0
1460,2025-10-23,87.75,89.08,87.5601,88.82,3079568.0
1461,2025-10-24,89.35,89.685,88.17,88.44,2756716.0
1462,2025-10-27,88.95,89.14,88.14,88.78,3349088.0
1463,2025-10-28,88.78,89.31,87.87,87.96,2663194.0
1464,2025-10-29,87.2,87.455,85.15,85.42,4356332.0
1465,2025-10-30,85.58,86.33,85.42,85.66,2305958.0
1466,2025-10-31,85.53,86.39,85.2812,85.49,2817203.0
1467,2025-11-03,85.4,86.64,85.03,86.39,2919356.0
1468,2025-11-04,86.28,86.5499,85.53,85.87,1756912.0
1469,2025-11-05,85.66,86.215,85.37,85.56,2563630.0
1470,2025-11-06,85.3,86.59,85.02,86.19,2770279.0
1471,2025-11-07,86.082,87.68,86.08,87.24,3431297.0
1472,2025-11-10,87.2,88.299,86.825,87.82,2084797.0
1473,2025-11-11,87.89,88.23,87.7,87.83,1493100.0
1474,2025-11-12,87.83,89.19,87.73,88.77,1713542.0
1475,2025-11-13,88.29,88.6049,87.34,87.43,1677901.0
1476,2025-11-14,87.24,87.61,86.14,87.08,2542473.0
1477,2025-11-17,87.08,87.23,85.29,85.7,1924837.0
1478,2025-11-18,85.52,85.91,84.76,85.54,2248896.0
1479,2025-11-19,85.61,86.51,85.26,86.02,2370829.0
1480,2025-11-20,87.94,89.55,86.735,86.99,3037529.0
1481,2025-11-21,87.36,88.211,86.79,87.66,2416497.0
1482,2025-11-24,87.55,89.09,87.55,88.44,4586581.0
1483,2025-11-25,88.68,89.65,88.26,89.14,3448020.0
1484,2025-11-26,89.3,90.49,89.2,89.98,1785553.0
1485,2025-11-28,90.24,91.26,90.07,90.92,1126117.0
1486,2025-12-01,90.57,90.76,89.27,89.36,3715749.0
1487,2025-12-02,89.64,89.9295,88.15,88.51,3498826.0
1488,2025-12-03,88.44,88.89,87.79,88.32,2220104.0
1489,2025-12-04,88.32,90.39,88.1141,90.29,4624394.0
1490,2025-12-05,90.02,90.54,89.87,90.22,3468064.0
1491,2025-12-08,90.0,90.14,89.17,89.8,4853366.0
1492,2025-12-09,89.8,91.2,89.445,90.72,3888956.0
1493,2025-12-10,90.88,92.2,90.32,91.92,4813562.0
1494,2025-12-11,92.21,94.38,91.92,93.85,5554598.0
1495,2025-12-12,93.85,94.35,93.01,93.57,4842632.0
1496,2025-12-15,93.58,93.62,92.18,92.93,2543205.0
1497,2025-12-16,93.02,93.685,92.38,92.93,2320027.0
1498,2025-12-17,93.08,94.595,92.93,93.71,3178927.0
1499,2025-12-18,94.095,95.86,94.01,94.71,5749690.0
1500,2025-12-19,94.27,95.91,94.15,95.36,10575418.0
1501,2025-12-22,95.36,97.72,95.06,97.46,4363021.0
1502,2025-12-23,97.475,98.285,97.35,98.01,3506441.0
1503,2025-12-24,97.99,98.8,97.71,98.64,1445423.0
1504,2025-12-26,98.74,99.42,98.51,99.35,1701462.0
1505,2025-12-29,99.35,99.54,98.8,98.87,2322203.0
1506,2025-12-30,98.5,99.59,98.06,98.18,2386390.0
1507,2025-12-31,98.1,98.16,97.08,97.13,2211890.0
1508,2026-01-02,97.25,97.25,95.8,96.66,3998599.0
1509,2026-01-05,96.24,98.86,96.24,98.45,3416358.0
1510,2026-01-06,98.44,100.85,98.2,100.69,3745952.0
1511,2026-01-07,100.7,101.215,99.77,100.4,3068047.0
1512,2026-01-08,100.37,100.83,99.63,99.74,4106249.0
1513,2026-01-09,99.64,99.81,98.23,98.24,3502171.0
1514,2026-01-12,98.03,99.765,97.86,99.42,3021090.0
1515,2026-01-13,99.51,99.695,97.9,98.89,3094978.0
1516,2026-01-14,98.09,100.535,98.09,100.07,2995535.0
1517,2026-01-15,100.54,100.97,99.735,100.33,2432634.0
1518,2026-01-16,100.34,101.785,100.01,100.98,3768181.0
1519,2026-01-20,99.005,100.2,97.13,97.41,3209023.0
1520,2026-01-21,97.66,99.79,97.405,98.78,3189815.0
1521,2026-01-22,99.0,99.88,98.4,98.78,3361967.0
1522,2026-01-23,98.625,98.93,97.76,98.05,2405038.0
1523,2026-01-26,98.25,99.38,98.05,98.89,2724000.0
1524,2026-01-27,98.89,99.28,97.905,98.5,2830051.0
1525,2026-01-28,98.43,99.335,97.88,98.71,3929304.0
1526,2026-01-29,99.75,101.51,96.54,98.09,6006196.0
1527,2026-01-30,98.035,99.705,95.61,96.89,4547609.0
1528,2026-02-02,97.18,97.91,96.45,96.81,4857701.0
1529,2026-02-03,96.275,96.39,86.2,87.71,14429873.0
1530,2026-02-04,86.7,88.92,84.73,88.49,11493852.0
1531,2026-02-05,89.315,89.47,84.555,85.51,7479611.0
1532,2026-02-06,86.94,87.2,84.12,84.83,10110306.0
1533,2026-02-09,84.67,86.64,84.5,86.3,7114470.0
1534,2026-02-10,82.315,84.51,82.0267,82.51,8384144.0
1535,2026-02-11,82.57,82.765,79.92,80.42,6681118.0
1536,2026-02-12,80.94,81.09,77.09,79.01,8079777.0
1537,2026-02-13,79.03,80.11,78.6,79.47,5122731.0
1538,2026-02-17,80.11,81.115,79.57,80.24,5039677.0
1539,2026-02-18,80.99,82.36,80.555,82.13,4812905.0
1540,2026-02-19,81.59,82.3199,80.925,81.41,4680182.0
1541,2026-02-20,81.76,82.41,81.01,81.87,3449989.0
1542,2026-02-23,81.63,81.81,79.69,79.92,4512493.0
1543,2026-02-24,79.85,81.58,78.9,81.11,3296199.0
1544,2026-02-25,82.66,84.36,82.12,83.99,5675802.0
1545,2026-02-26,85.54,89.0299,85.5,88.59,8282276.0
1546,2026-02-27,87.5,88.61,86.88,87.58,5031446.0
1547,2026-03-02,85.96,88.795,85.0223,88.09,4714276.0
1548,2026-03-03,86.1612,88.715,85.85,87.41,3945682.0
1549,2026-03-04,87.53,89.35,87.4,89.13,2987450.0
1550,2026-03-05,88.32,89.89,87.64,88.28,2883327.0
1551,2026-03-06,86.965,90.42,86.965,88.407,6022099.0
1552,2026-03-09,86.98,88.8,85.61,88.05,4703432.0
1553,2026-03-10,88.54,88.57,86.2837,87.59,3865702.0
1554,2026-03-11,87.66,88.01,83.632,85.5,3207290.0
1555,2026-03-12,84.35,85.45,83.68,84.06,3878952.0
1556,2026-03-13,84.94,86.32,84.705,85.53,3369831.0
